title,image_url,description,start_date,end_date,category,shop,address,phone,offer_url
"Trenty Treat: Up to 50% off on selected items, online only at Spring & Summer",https://mypromo.azureedge.net/promotions/mypromo-0280136860bd41c3b0c0623919898883.jpg,Offer ends 31st May! T&C apply.,14/05/2025,31/05/2025,Fashion,Spring & Summer,"No. 484, Negombo Road",94114362611,https://www.mypromo.lk/springandsummer/promotion/22557/trenty-treat-up-to-50-off-on-selected-items-online-only-at-spring--summer
Enjoy a 20% saving with your favourite credit card at Indian Affair,https://mypromo.azureedge.net/promotions/mypromo-c00f41a772894010b85ec02461e47984.jpg,Valid only for takeaway orders. T&C apply,14/05/2025,30/06/2025,Food,Indian Affair,57 D. S. Fonseka Rd,94740204160,https://www.mypromo.lk/indian-affair/promotion/22554/enjoy-a-20-saving-with-your-favourite-credit-card-at-indian-affair
15% off on Visa Cards for dine-in & take away at Mitsis Delicacies,https://mypromo.azureedge.net/promotions/mypromo-657cfee48bdc4e7aa1f16ddf2a155a78.jpg,"Sweeten your Thursdays with 15% OFF!Treat yourself at Mitsi’s Delicacies with your Visa Card and enjoy 15% off on dine-in & take-away — every Thursday from April 3rd to September 25th, 2025.Indulgence made even better with savings!(Terms and Conditions apply)",3/4/2025,25/09/2025,Food,Mitsis Delicacies,"No. 34A, Bagatalle Rd",94777163090,https://www.mypromo.lk/mitsisdelicacies/promotion/22555/15-off-on-visa-cards-for-dine-in--take-away-at-mitsis-delicacies
Style up & Save Big at NOLIMIT,https://mypromo.azureedge.net/promotions/mypromo-cafcf20c879b45b2845d70f52c1b34ea.jpg,Buy 2 & Get 10% OFF | Buy 3 & Get 15% OFF on selected items.,14/05/2025,15/06/2025,Fashion,NOLIMIT,Galle Road,+94 112 587 812,https://www.mypromo.lk/nolimit/promotion/22556/style-up--save-big-at-nolimit
Lasagna Monday at Keells,https://mypromo.azureedge.net/promotions/mypromo-1a2d0c0ffa6142a7bc6e0f72b076e60e.jpg,"Creamy, cheesy Chicken Lasagna is just what you need! Packed with rich flavours and available for only Rs. 549, it's the perfect comfort food.Best restaurants near me",11/5/2025,26/05/2025,Food,Keells,"No.148, Vaxuhall Street",94112303500,https://www.mypromo.lk/keellssuper/promotion/22548/lasagna-monday-at-keells
Double Delight offer at Keells,https://mypromo.azureedge.net/promotions/mypromo-ede7f26189dd4fbb85ab25c693aeb4ff.jpg,Treat yourself to 2 delicious Crispy Chicken Burgers or Chicken Burgers for only Rs. 999 (was Rs. 1380)!,11/5/2025,27/05/2025,Food,Keells,"No.148, Vaxuhall Street",94112303500,https://www.mypromo.lk/keellssuper/promotion/22549/double-delight-offer-at-keells
Grab 2 Chocolate Muffins for just Rs. 400 at Keells,https://mypromo.azureedge.net/promotions/mypromo-bb9d09888e054e40875f6f265656a297.jpg,"*Valid every Tuesday till 27th May, 2025.*Items are subjected to availability.*Promotion can be stopped or changed without prior notice.*Terms & conditions apply",11/5/2025,27/05/2025,Food,Keells,"No.148, Vaxuhall Street",94112303500,https://www.mypromo.lk/keellssuper/promotion/22550/grab-2-chocolate-muffins-for-just-rs-400-at-keells
Wednesday with a crispy treat at Keells,https://mypromo.azureedge.net/promotions/mypromo-dc552042418a4e2385d6910cfa530b70.jpg,Enjoy our special offer on chicken wings:12 pcs for Rs. 1170 (was Rs. 1690)6 pcs for Rs. 590 (was Rs. 890),11/5/2025,28/05/2025,Food,Keells,"No.148, Vaxuhall Street",94112303500,https://www.mypromo.lk/keellssuper/promotion/22551/wednesday-with-a-crispy-treat-at-keells
Buy one Get one free at Sheraton Colombo Hotel,https://mypromo.azureedge.net/promotions/mypromo-bf1d51816cbb498fa8e971388613e197.jpg,"Double the delight at International Dinner Buffet at Sheraton Colombo!From 12th to 16th May, enjoy Buy one Get one free exclusive offer and indulge in a world of flavors for just LKR 8,000 nett per person.7:00 PM – 10:30 PMColombo Kitchen, Sheraton ColomboBook your table: +94 77 389 4097",12/5/2025,16/05/2025,Food,Sheraton Colombo Hotel,"265 Galle Rd, Colombo 00300, Sri Lanka",0117 678 000,https://www.mypromo.lk/sheraton-colombo-hotel/promotion/22545/buy-one-get-one-free-at-sheraton-colombo-hotel
"Enjoy exclusive savings with BOC, HNB, Commercial Bank and NTB at Baskin Robbins",https://mypromo.azureedge.net/promotions/mypromo-e11b815968214ca281d49b8cf65f103b.jpg,"Get up to 25% OFF with your credit card and up to 15% OFF with your debit card when you dine at Baskin Robbins!Enjoy exclusive savings from May 1st to 31st with BOC, HNB, Commercial Bank and NTB.Wednesday - BOCThursday - HNBFriday - Commercial BankSunday - NTBValid only for Dine-in and takeaway orders.*T&C apply",1/5/2025,31/05/2025,Food,Baskin Robbins,"No. 362, Galle Road",94112573574,https://www.mypromo.lk/baskinrobbins/promotion/22544/enjoy-exclusive-savings-with-boc-hnb-commercial-bank-and-ntb-at-baskin-robbins
